Variable,Coefficient,Std Error,t-statistic,p-value,CI Lower,CI Upper
const,-16.113550221625722,1.2122585728012125,-13.292172629797554,2.5700579931043093e-40,-18.489533364266027,-13.737567078985418
tradeoff,0.41336054810892453,0.46756092485551,0.8840784722048042,0.3766538534323072,-0.5030420251861136,1.3297631214039627
log_award_amount,1.9458616386807706,0.10673550454819926,18.23068759469877,2.9459390676536695e-74,1.7366638938945889,2.155059383466952
naics_54,-4.745244140994772,0.44097652406786103,-10.76076362800786,5.273138088519328e-27,-5.60954224619544,-3.880946035794104
naics_56,-5.1697919284122635,0.5793443455631451,-8.923521853634433,4.516905780675926e-19,-6.305285980362955,-4.034297876461572
naics_51,-6.198514152218704,0.673595474945047,-9.202131520738599,3.5091846405848806e-20,-7.518737023260148,-4.878291281177259
agency_Department_of_Defens,0.868101829895978,0.4758660741807385,1.8242566070517239,0.06811328727862706,-0.06457853696273519,1.800782196754691
agency_Department_of_Transp,3.2285222281160335,0.7345610224763199,4.395172258435631,1.106849456384716e-05,1.7888090796155294,4.668235376616538
agency_Environmental_Protec,-1.5614307041449984,0.8217721989155348,-1.9000773039116754,0.057422975658692595,-3.1720746175157317,0.04921320922573491
agency_Department_of_Health,-0.48848507542653913,0.987625020296783,-0.4946058123150308,0.620878398571348,-2.4241945454388736,1.4472243945857954
agency_Department_of_Homela,-1.655460387645301,1.0116280328747658,-1.6364319036720862,0.10174922665239719,-3.6382148978309434,0.32729412254034185
