Variable,Coefficient,Std Error,z-statistic,p-value
const,-0.950593554557132,0.1359461783462268,-6.992425724069763,2.7017355882748566e-12
tradeoff,-0.034292146154581316,0.045325534626999876,-0.7565745542062265,0.4493047908513479
log_award_amount,0.11165586402922485,0.011548084755009132,9.668777671621493,4.0923652610381586e-22
naics_54,-0.3198248553900602,0.05053415996976672,-6.328884374082861,2.4694005942877423e-10
naics_56,-0.18163977145343763,0.06508463105441806,-2.7908243238187276,0.0052573998999309824
naics_51,-0.4491289277136332,0.08118832265512949,-5.531939976410601,3.167082902903781e-08
agency_Department_of_Defens,0.14928989601094633,0.04998195009477919,2.986876176856898,0.002818438519277733
agency_Department_of_Transp,0.12155804137758915,0.08178686180660989,1.4862783421745742,0.13720551290144087
agency_Environmental_Protec,0.10432060703622073,0.0993958210852115,1.0495472133258725,0.29392633737830065
agency_Department_of_Health,-0.19718273086656318,0.10846023511979416,-1.8180186558582982,0.0690612814367765
agency_Department_of_Homela,-0.12613321866372207,0.11074524396313636,-1.1389493051792625,0.254724299140189
