Variable,Coefficient,Std Error,z-statistic,p-value,Odds Ratio
const,-2.653523626737367,,,,0.07040270264316209
tradeoff,-0.2852283975964344,0.16564476816013524,-1.7219282007186187,0.08508252569283518,0.7518425156843039
log_award_amount,0.07438708801244213,0.040469279507669625,1.8381124872347803,0.06604583151179501,1.077223705185574
naics_54,-0.7885258791037731,,,,0.4545143107308419
naics_56,-1.3447619029012843,,,,0.26060174899413124
naics_51,-0.5202381869662699,,,,0.5943789577876256
agency_Department_of_Defens,-0.5854286904187107,0.16398896330644105,-3.569927381788117,0.00035708020201804906,0.5568670870508904
agency_Department_of_Transp,-1.697103049075703,0.4677677477920065,-3.6280890614765555,0.0002855267728136114,0.18321351656708948
agency_Environmental_Protec,-0.9576264286584869,0.43852830827549427,-2.1837277333915748,0.02898226061344696,0.3838027889888029
agency_Department_of_Health,0.37962430984875994,0.2619524397648149,1.449210819298315,0.14727871698442,1.4617353266984245
agency_Department_of_Homela,-0.6167317644088016,0.4048128782991434,-1.5234983802888236,0.12763406561975507,0.5397054428742796
